date,close
2024-09-17,2426.29
2024-09-18,2435.62
2024-09-19,2446.03
2024-09-20,2457.11
2024-09-23,2468.48
2024-09-24,2479.73
2024-09-25,2490.48
2024-09-26,2500.38
2024-09-27,2509.11
2024-09-30,2516.41
2024-10-01,2522.05
2024-10-02,2525.88
2024-10-03,2527.79
2024-10-04,2527.77
2024-10-07,2525.85
2024-10-08,2522.13
2024-10-09,2516.79
2024-10-10,2510.05
2024-10-11,2502.19
2024-10-14,2493.53
2024-10-15,2484.44
2024-10-16,2475.29
2024-10-17,2466.49
2024-10-18,2458.43
2024-10-21,2451.5
2024-10-22,2446.07
2024-10-23,2442.49
2024-10-24,2441.04
2024-10-25,2441.99
2024-10-28,2445.52
2024-10-29,2451.76
2024-10-30,2460.77
2024-10-31,2472.54
2024-11-01,2487.0
2024-11-04,2504.0
2024-11-05,2523.33
2024-11-06,2544.71
2024-11-07,2567.83
2024-11-08,2592.32
2024-11-11,2617.76
2024-11-12,2643.73
2024-11-13,2669.79
2024-11-14,2695.5
2024-11-15,2720.4
2024-11-18,2744.1
2024-11-19,2766.2
2024-11-20,2786.37
2024-11-21,2804.3
2024-11-22,2819.77
2024-11-25,2832.6
2024-11-26,2842.69
2024-11-27,2850.01
2024-11-28,2854.58
2024-11-29,2856.51
2024-12-02,2855.97
2024-12-03,2853.19
2024-12-04,2848.44
2024-12-05,2842.05
2024-12-06,2834.39
2024-12-09,2825.83
2024-12-10,2816.77
2024-12-11,2807.61
2024-12-12,2798.74
2024-12-13,2790.52
2024-12-16,2783.31
2024-12-17,2777.4
2024-12-18,2773.02
2024-12-19,2770.38
2024-12-20,2769.61
2024-12-23,2770.77
2024-12-24,2773.86
2024-12-25,2778.81
2024-12-26,2785.49
2024-12-27,2793.69
2024-12-30,2803.18
2024-12-31,2813.64
2025-01-01,2824.74
2025-01-02,2836.1
2025-01-03,2847.34
2025-01-06,2858.06
2025-01-07,2867.86
2025-01-08,2876.35
2025-01-09,2883.19
2025-01-10,2888.04
2025-01-13,2890.63
2025-01-14,2890.74
2025-01-15,2888.2
2025-01-16,2882.92
2025-01-17,2874.86
2025-01-20,2864.06
2025-01-21,2850.63
2025-01-22,2834.75
2025-01-23,2816.65
2025-01-24,2796.64
2025-01-27,2775.06
2025-01-28,2752.29
2025-01-29,2728.75
2025-01-30,2704.88
2025-01-31,2681.13
2025-02-03,2657.93
2025-02-04,2635.72
2025-02-05,2614.9
2025-02-06,2595.83
2025-02-07,2578.84
2025-02-10,2564.2
2025-02-11,2552.1
2025-02-12,2542.7
2025-02-13,2536.06
2025-02-14,2532.19
2025-02-17,2531.03
2025-02-18,2532.44
2025-02-19,2536.22
2025-02-20,2542.13
2025-02-21,2549.86
2025-02-24,2559.07
2025-02-25,2569.38
2025-02-26,2580.42
2025-02-27,2591.78
2025-02-28,2603.05
2025-03-03,2613.87
2025-03-04,2623.87
2025-03-05,2632.73
2025-03-06,2640.18
2025-03-07,2645.99
2025-03-10,2650.0
2025-03-11,2652.1
2025-03-12,2652.26
2025-03-13,2650.52
2025-03-14,2646.97
2025-03-17,2641.78
2025-03-18,2635.16
2025-03-19,2627.4
2025-03-20,2618.81
2025-03-21,2609.74
